County,WeekStartDate,Deaths,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
King County,2020-03-08,63,0,1,5,23,34,0,2020/05/12 13:29:40
King County,2020-03-15,75,0,1,6,29,39,0,2020/05/12 13:29:40
King County,2020-03-22,94,0,1,7,26,60,0,2020/05/12 13:29:40
King County,2020-03-29,63,0,1,4,22,36,0,2020/05/12 13:29:40
King County,2020-04-05,49,0,0,3,17,29,0,2020/05/12 13:29:40
King County,2020-04-12,40,0,1,7,14,18,0,2020/05/12 13:29:40
King County,2020-04-19,25,0,1,2,9,13,0,2020/05/12 13:29:40
King County,2020-04-26,20,0,0,2,8,10,0,2020/05/12 13:29:40
King County,2020-05-03,6,0,1,0,0,5,0,2020/05/12 13:29:40
Kitsap County,2020-03-22,1,0,0,0,0,1,0,2020/05/12 13:29:40
Kitsap County,2020-03-29,1,0,0,0,1,0,0,2020/05/12 13:29:40
Klickitat County,2020-03-15,1,0,0,0,1,0,0,2020/05/12 13:29:40
Klickitat County,2020-03-22,1,0,0,0,0,1,0,2020/05/12 13:29:40
Klickitat County,2020-04-05,1,0,0,0,0,1,0,2020/05/12 13:29:40
Lewis County,2020-03-15,1,0,0,0,0,1,0,2020/05/12 13:29:40
Lewis County,2020-03-22,1,0,0,0,0,1,0,2020/05/12 13:29:40
Lewis County,2020-04-05,1,0,0,0,1,0,0,2020/05/12 13:29:40
Mason County,2020-04-12,1,0,0,0,1,0,0,2020/05/12 13:29:40
Okanogan County,2020-04-12,1,0,0,1,0,0,0,2020/05/12 13:29:40
Pacific County,2020-03-29,1,0,0,0,1,0,0,2020/05/12 13:29:40
Pierce County,2020-03-01,2,0,0,1,1,0,0,2020/05/12 13:29:40
Pierce County,2020-03-08,3,0,0,0,2,1,0,2020/05/12 13:29:40
Pierce County,2020-03-15,6,0,0,0,5,1,0,2020/05/12 13:29:40
Pierce County,2020-03-22,8,0,0,0,6,2,0,2020/05/12 13:29:40
Pierce County,2020-03-29,14,0,0,2,5,7,0,2020/05/12 13:29:40
Pierce County,2020-04-05,9,0,0,0,5,4,0,2020/05/12 13:29:40
Pierce County,2020-04-12,8,0,0,0,4,4,0,2020/05/12 13:29:40
Pierce County,2020-04-19,5,0,0,2,1,2,0,2020/05/12 13:29:40
Pierce County,2020-04-26,2,0,0,0,1,1,0,2020/05/12 13:29:40
Pierce County,2020-05-03,2,0,0,0,1,1,0,2020/05/12 13:29:40
Skagit County,2020-03-01,1,0,0,0,0,1,0,2020/05/12 13:29:40
Skagit County,2020-03-08,1,0,0,0,0,1,0,2020/05/12 13:29:40
Skagit County,2020-03-15,1,0,0,0,0,1,0,2020/05/12 13:29:40
Skagit County,2020-03-22,1,0,0,1,0,0,0,2020/05/12 13:29:40
Skagit County,2020-03-29,5,0,0,0,3,2,0,2020/05/12 13:29:40
Skagit County,2020-04-05,1,0,0,1,0,0,0,2020/05/12 13:29:40
Skagit County,2020-04-12,3,0,0,0,2,1,0,2020/05/12 13:29:40
Skagit County,2020-05-03,1,0,0,0,0,1,0,2020/05/12 13:29:40
Snohomish County,2020-02-16,1,0,0,1,0,0,0,2020/05/12 13:29:40
Snohomish County,2020-02-23,2,0,0,0,1,1,0,2020/05/12 13:29:40
Snohomish County,2020-03-01,15,0,0,3,5,7,0,2020/05/12 13:29:40
Snohomish County,2020-03-08,21,0,0,4,7,10,0,2020/05/12 13:29:40
Snohomish County,2020-03-15,23,0,0,1,13,9,0,2020/05/12 13:29:40
Snohomish County,2020-03-22,15,0,1,2,8,4,0,2020/05/12 13:29:40
Snohomish County,2020-03-29,15,0,0,0,5,10,0,2020/05/12 13:29:40
Snohomish County,2020-04-05,13,0,0,3,6,4,0,2020/05/12 13:29:40
Snohomish County,2020-04-12,6,0,0,0,3,3,0,2020/05/12 13:29:40
Snohomish County,2020-04-19,4,0,0,0,1,3,0,2020/05/12 13:29:40
Snohomish County,2020-04-26,5,0,0,0,2,3,0,2020/05/12 13:29:40
Snohomish County,2020-05-03,1,0,0,1,0,0,0,2020/05/12 13:29:40
Spokane County,2020-02-23,1,0,0,0,0,1,0,2020/05/12 13:29:40
Spokane County,2020-03-01,1,0,0,1,0,0,0,2020/05/12 13:29:40
Spokane County,2020-03-08,2,0,0,0,2,0,0,2020/05/12 13:29:40
Spokane County,2020-03-15,2,0,0,1,0,1,0,2020/05/12 13:29:40
Spokane County,2020-03-22,9,0,0,0,6,3,0,2020/05/12 13:29:40
Spokane County,2020-03-29,2,0,0,1,0,1,0,2020/05/12 13:29:40
Spokane County,2020-04-05,6,0,0,0,1,5,0,2020/05/12 13:29:40
Spokane County,2020-04-12,2,0,0,0,0,2,0,2020/05/12 13:29:40
Spokane County,2020-04-19,3,0,0,0,1,2,0,2020/05/12 13:29:40
Spokane County,2020-04-26,1,0,0,0,1,0,0,2020/05/12 13:29:40
Stevens County,2020-03-22,1,0,0,0,1,0,0,2020/05/12 13:29:40
Thurston County,2020-03-08,1,0,0,0,0,1,0,2020/05/12 13:29:40
Walla Walla County,2020-04-05,1,0,0,0,1,0,0,2020/05/12 13:29:40
Walla Walla County,2020-04-19,1,0,0,0,1,0,0,2020/05/12 13:29:40
Whatcom County,2020-03-08,4,0,0,0,1,3,0,2020/05/12 13:29:40
Whatcom County,2020-03-15,11,0,0,0,3,8,0,2020/05/12 13:29:40
Whatcom County,2020-03-22,7,0,0,0,2,5,0,2020/05/12 13:29:40
Whatcom County,2020-03-29,7,0,0,0,0,7,0,2020/05/12 13:29:40
Whatcom County,2020-04-05,3,0,0,0,1,2,0,2020/05/12 13:29:40
Whatcom County,2020-04-26,1,0,0,0,0,1,0,2020/05/12 13:29:40
Whatcom County,2020-05-03,1,0,0,0,0,1,0,2020/05/12 13:29:40
Yakima County,2020-03-08,1,0,0,0,1,0,0,2020/05/12 13:29:40
Yakima County,2020-03-15,2,0,1,0,0,1,0,2020/05/12 13:29:40
Yakima County,2020-03-22,14,0,0,1,4,9,0,2020/05/12 13:29:40
Yakima County,2020-03-29,11,0,0,2,7,2,0,2020/05/12 13:29:40
Yakima County,2020-04-05,16,0,0,3,8,5,0,2020/05/12 13:29:40
Yakima County,2020-04-12,7,0,0,0,4,3,0,2020/05/12 13:29:40
Yakima County,2020-04-19,5,0,0,0,1,4,0,2020/05/12 13:29:40
Yakima County,2020-04-26,5,0,0,0,2,3,0,2020/05/12 13:29:40
Yakima County,2020-05-03,4,0,0,1,1,2,0,2020/05/12 13:29:40
